Date: 1-1-2022
Player: A. Drummond, line: O 6.5, odds: (-110)
Player: E. Gordon, line: O 1.5, odds: (-185)
Player: G. Mathews, line: O 4.5, odds: (+115)
Player: F. Korkmaz, line: O 3.5, odds: (-105)
Player: T. Harris, line: O 7.5, odds: (+105)
Player: J. Harden, line: O 8.5, odds: (-125)
Player: B. Clarke, line: O 6.5, odds: (+115)
Player: K. Tillie, line: O 3.5, odds: (EVEN)
Player: L. Aldridge, line: O 5.5, odds: (-110)
Player: J. Jackson Jr., line: O 6.5, odds: (+110)
Player: B. Brown Jr., line: O 4.5, odds: (-150)
Player: Ja Morant, line: O 6.5, odds: (-135)
Player: D. Bembry, line: O 4.5, odds: (+115)
Player: P. Mills, line: O 2.5, odds: (+140)
Player: S. Adams, line: O 10.5, odds: (+105)
Player: J. Johnson, line: O 5.5, odds: (+115)
Player: D. Bane, line: O 4.5, odds: (-120)
Player: K. Durant, line: O 7.5, odds: (-115)
Player: T. Jones, line: O 3.5, odds: (+110)
Player: N. Claxton, line: O 6.5, odds: (-120)
Player: J. Ingles, line: O 2.5, odds: (-140)
Player: N. Alexander-Walker, line: O 2.5, odds: (-120)
Player: D. Graham, line: O 2.5, odds: (+120)
Player: R. O'Neale, line: O 4.5, odds: (-160)
Player: J. Clarkson, line: O 3.5, odds: (-145)
Player: R. Gobert, line: O 14.5, odds: (-130)
Player: J. Valanciunas, line: O 10.5, odds: (-143)
Player: D. Mitchell, line: O 3.5, odds: (-150)
Player: B. Ingram, line: O 5.5, odds: (+114)
Player: M. Conley, line: O 3.5, odds: (+130)
Player: B. Bogdanovic, line: O 3.5, odds: (-135)
Player: R. Gay, line: O 4.5, odds: (-105)
Player: J. Hart, line: O 7.5, odds: (-110)
Player: H. Jones, line: O 4.5, odds: (+110)
Player: G. Allen, line: O 2.5, odds: (-155)
Player: G. Hill, line: O 2.5, odds: (EVEN)
Player: P. Connaughton, line: O 3.5, odds: (-135)
Player: C. Cunningham, line: O 5.5, odds: (-125)
Player: B. Portis Jr., line: O 8.5, odds: (-110)
Player: G. Antetokounmpo, line: O 11.5, odds: (-140)
Player: T. Lyles, line: O 6.5, odds: (-110)
Player: S. Bey, line: O 6.5, odds: (-120)
Player: D. Cousins, line: O 6.5, odds: (+105)
Player: H. Diallo, line: O 6.5, odds: (-110)
Player: K. Hayes, line: O 2.5, odds: (-165)
Player: J. Holiday, line: O 4.5, odds: (-115)
Player: W. Matthews, line: O 1.5, odds: (-115)
Player: K. Middleton, line: O 5.5, odds: (+120)
Player: D. Jones Jr., line: O 4.5, odds: (EVEN)
Player: C. White, line: O 3.5, odds: (+135)
Player: A. Dosunmu, line: O 2.5, odds: (EVEN)
Player: N. Vucevic, line: O 11.5, odds: (-120)
Player: L. Ball, line: O 5.5, odds: (+105)
