Date: 1-1-2022
Player: N. Reid, line: O 0.5, odds: (-225)

Date: 1-4-2022
Player: O.G. Anunoby, line: O 2.5, odds: (+115)
Player: J. Poeltl, line: O 3.5, odds: (+120)
Player: C. Boucher, line: O 0.5, odds: (+115)
Player: K. Johnson, line: O 1.5, odds: (-150)
Player: D. White, line: O 7.5, odds: (-145)
Player: P. Siakam, line: O 4.5, odds: (+110)
Player: B. Forbes, line: O 1.5, odds: (-170)
Player: F. VanVleet, line: O 6.5, odds: (-125)
Player: G. Trent Jr., line: O 1.5, odds: (-160)
Player: K. Birch, line: O 0.5, odds: (-220)
Player: K. Bates-Diop, line: O 1.5, odds: (+145)
Player: S. Barnes, line: O 2.5, odds: (-150)
Player: J. Landale, line: O 0.5, odds: (-210)
Player: D. Garland, line: O 7.5, odds: (-105)
Player: B. Clarke, line: O 1.5, odds: (-150)
Player: E. Mobley, line: O 2.5, odds: (-165)
Player: L. Stevens, line: O 1.5, odds: (+115)
Player: S. Adams, line: O 2.5, odds: (-170)
Player: L. Markkanen, line: O 1.5, odds: (+105)
Player: K. Love, line: O 2.5, odds: (-150)
Player: J. Jackson Jr., line: O 1.5, odds: (+125)
Player: D. Bane, line: O 2.5, odds: (-150)
Player: J. Allen, line: O 2.5, odds: (+130)
Player: Ja Morant, line: O 6.5, odds: (-134)
Player: L. Stephenson, line: O 1.5, odds: (-105)
Player: T. Gibson, line: O 0.5, odds: (-190)
Player: D. Washington Jr., line: O 2.5, odds: (+115)
Player: I. Quickley, line: O 2.5, odds: (-135)
Player: RJ Barrett, line: O 2.5, odds: (-175)
Player: A. Burks, line: O 2.5, odds: (+146)
Player: E. Fournier, line: O 2.5, odds: (-105)
Player: O. Toppin, line: O 2.5, odds: (+110)
Player: M. Robinson, line: O 0.5, odds: (+120)
Player: O. Brissett, line: O 1.5, odds: (+170)
Player: J. Randle, line: O 4.5, odds: (-144)
Player: D. Sabonis, line: O 6.5, odds: (+105)
Player: T. Craig, line: O 1.5, odds: (+105)
Player: J. Holiday, line: O 2.5, odds: (+145)
Player: M. Turner, line: O 1.5, odds: (+115)
Player: K. Sykes, line: O 4.5, odds: (-110)
Player: H. Jones, line: O 1.5, odds: (-175)
Player: C. Payne, line: O 3.5, odds: (-155)
Player: D. Graham, line: O 4.5, odds: (+120)
Player: N. Alexander-Walker, line: O 2.5, odds: (+140)
Player: J. Valanciunas, line: O 2.5, odds: (-110)
Player: B. Ingram, line: O 4.5, odds: (-110)
Player: J. Hart, line: O 4.5, odds: (+115)
Player: C. Johnson, line: O 1.5, odds: (+105)
Player: J. Smith, line: O 0.5, odds: (-135)
Player: C. Paul, line: O 9.5, odds: (EVEN)
Player: M. Bridges, line: O 1.5, odds: (-110)
Player: D. Booker, line: O 4.5, odds: (+125)
Player: M. Monk, line: O 1.5, odds: (-205)
Player: A. Bradley, line: O 0.5, odds: (-245)
Player: T. Haliburton, line: O 8.5, odds: (-135)
Player: H. Barnes, line: O 2.5, odds: (+145)
Player: M. Bagley III, line: O 0.5, odds: (-155)
Player: D. Jones, line: O 1.5, odds: (+165)
Player: D. Mitchell, line: O 2.5, odds: (-161)
Player: T. Ariza, line: O 1.5, odds: (-115)
Player: C. Anthony, line: O 1.5, odds: (+125)
Player: B. Hield, line: O 1.5, odds: (-189)
Player: R. Westbrook III, line: O 9.5, odds: (-115)
Player: T. Horton-Tucker, line: O 2.5, odds: (+105)
Player: L. James, line: O 7.5, odds: (-105)
Player: D. Fox, line: O 4.5, odds: (-155)
Player: A. Reaves, line: O 1.5, odds: (+135)

Date: 1-5-2022
Player: C. Kispert, line: O 1.5, odds: (+165)
Player: B. Beal, line: O 8.5, odds: (-130)
Player: R. Neto, line: O 3.5, odds: (-110)
Player: K. Porter Jr., line: O 5.5, odds: (-105)
Player: K. Martin Jr., line: O 1.5, odds: (+135)
Player: C. Wood, line: O 1.5, odds: (-155)
Player: K. Caldwell-Pope, line: O 2.5, odds: (+105)
Player: J. Tate, line: O 2.5, odds: (-120)
Player: J. Green, line: O 1.5, odds: (-140)
Player: D. Gafford, line: O 1.5, odds: (+130)
Player: E. Gordon, line: O 3.5, odds: (+125)
Player: D. Bertans, line: O 0.5, odds: (-135)
